recipe_code_main,l3_avg_vol_share,l3_avg_uptake,l3_avg_score_w_scm,l3_avg_score_wo_scm,l3_avg_share_1star,l3_avg_share_1star_wo_scm,lt_avg_vol_share,lt_avg_uptake,lt_avg_score_w_scm,lt_avg_score_wo_scm,lt_avg_share_1star,lt_avg_share_1star_wo_scm
R157875,0.011456416987734254,0.03853059917426261,3.3684210526315788,3.4705882352941178,0.0526315789473684210000,0.0000000000000000000000,0.011456416987734254,0.03853059917426261,3.3684210526315788,3.4705882352941178,0.0526315789473684210000,0.0000000000000000000000
R157875-SP-1,0.003363133392956123,0.011311001063622952,3.6,3.75,0.0000000000000000000000,0.0000000000000000000000,0.003363133392956123,0.011311001063622952,3.6,3.75,0.0000000000000000000000,0.0000000000000000000000
R157875-SP-2,0.0006937100224095542,0.0023331084094833994,,,,,0.0006937100224095542,0.0023331084094833994,,,,
RAORM48440,0.0007020490426603963,0.0023407925094639697,2.111111111111111,2.6,0.3333333333333333330000,0.2000000000000000000000,0.0007020490426603963,0.0023407925094639697,2.111111111111111,2.6,0.3333333333333333330000,0.2000000000000000000000
RB0021,0.0031786099930541135,0.010902528252186287,3.5172727272727276,3.687062937062937,0.0151515151515151515000,0.0000000000000000000000,0.0031786099930541135,0.010902528252186287,3.5172727272727276,3.687062937062937,0.0151515151515151515000,0.0000000000000000000000
RB0158,0.016350968315607377,0.05487932224385363,3.3316931216931223,3.395454545454545,0.0385978835978835976667,0.0201809764309764310000,0.01949705690513956,0.06654478581813388,3.4268339101222254,3.482838969312353,0.0432892508455305654000,0.0320483753205514250000
RB0162,0.004178032783668673,0.014124095793555086,3.2034796424331304,3.484466374269006,0.1042059501361826943333,0.0279605263157894736667,0.005045371164061447,0.01723105899253042,3.2752368801493006,3.5407370983300175,0.0829168820456704588000,0.0229618827997829626000
RB0273,0.023938311376606392,0.07999220702118885,3.4317359449737395,3.5051823952012278,0.0533463127585061033333,0.0352235474646020786667,0.04174355037880321,0.14233985653854517,3.483040514365996,3.5455882560762824,0.0422726695146587682500,0.0308416939090418891667
RB0298,0.03978085500970547,0.13355745501432212,3.579924091406857,3.617610654608697,0.0386650713467875570000,0.0289281109911040510000,0.04286694708218287,0.1454459399776339,3.5759566344281737,3.628611168249512,0.0441340150880185739091,0.0313889482457484386364
RB0303,0.06657621933389414,0.2260644456958488,3.3810009260546443,3.4677192615266548,0.0568439975240675093333,0.0351917257497667196667,0.05297847663557984,0.18005988937330625,3.401912310702599,3.4814712643268093,0.0527340082440607330000,0.0320756124941432215000
RB0307,0.0016048530127289564,0.005415066860849993,3.2857142857142856,3.6,0.0476190476190476190000,0.0000000000000000000000,0.0016048530127289564,0.005415066860849993,3.2857142857142856,3.6,0.0476190476190476190000,0.0000000000000000000000
RB0337,0.003809770718197109,0.013115360754051612,3.263157894736842,3.28125,0.1052631578947368420000,0.1250000000000000000000,0.003809770718197109,0.013115360754051612,3.263157894736842,3.28125,0.1052631578947368420000,0.1250000000000000000000
RB0457,0.02875688907635303,0.09695051045931062,3.4426053529311456,3.485440790938726,0.0445222904085310353333,0.0333967546919711616667,0.03834739041066597,0.13051875557005824,3.48034337918601,3.544074828044021,0.0360977506617919771250,0.0221877692106057577500
RB0457-SP-1,0.00015436980266937702,0.000521289491713043,3.7619047619047614,3.7619047619047614,0.0000000000000000000000,0.0000000000000000000000,0.00015436980266937702,0.000521289491713043,3.7619047619047614,3.7619047619047614,0.0000000000000000000000,0.0000000000000000000000
RB0457-SP-2,0.0005776399089950495,0.001948609563192254,3.4714285714285715,3.412820512820513,0.0238095238095238096667,0.0256410256410256410000,0.0005776399089950495,0.001948609563192254,3.4714285714285715,3.412820512820513,0.0238095238095238096667,0.0256410256410256410000
RB0487,0.018372709842318244,0.06134173844299382,3.4267372434553436,3.44804144078905,0.0452253442995426086667,0.0355036928913890846667,0.022559857640690788,0.07660863331309979,3.4890635752147223,3.5182574153320223,0.0367836086892083047857,0.0300879918115401394286
RB0487-SP-1,0.0009531675108951255,0.0032054186892939065,3.5925000000000002,3.5708333333333333,0.0400000000000000000000,0.0416666666666666665000,0.0009531675108951255,0.0032054186892939065,3.5925000000000002,3.5708333333333333,0.0400000000000000000000,0.0416666666666666665000
RB0487-SP-2,0.0003746317537317636,0.001260946948796837,3.6111111111111107,3.78125,0.0277777777777777780000,0.0312500000000000000000,0.0003746317537317636,0.001260946948796837,3.6111111111111107,3.78125,0.0277777777777777780000,0.0312500000000000000000
RB0542,0.02244075367053339,0.07576664058112045,3.3556843924802178,3.404590130158237,0.0531944457432037653333,0.0396381626021715343333,0.016949971539557632,0.057548741588486385,3.4014672635447587,3.4560874114282756,0.0430363585656133788000,0.0304495642279695872000
RB0542-SP-1,0.0005804454009031838,0.001956246228268136,3.482142857142857,3.424242424242424,0.0416666666666666665000,0.0454545454545454545000,0.0005804454009031838,0.001956246228268136,3.482142857142857,3.424242424242424,0.0416666666666666665000,0.0454545454545454545000
RB0542-SP-2,0.0003320577587068446,0.0011192975592793028,3.1,3.3333333333333335,0.1000000000000000000000,0.0000000000000000000000,0.0003320577587068446,0.0011192975592793028,3.1,3.3333333333333335,0.1000000000000000000000,0.0000000000000000000000
RB0915,0.002926972300189497,0.009862031165957776,3.4042105263157896,3.6246498599439776,0.0875438596491228070000,0.0362745098039215686667,0.003386372119210102,0.01140999353834565,3.516120857699805,3.680025856496445,0.0749171539961013645000,0.0368212669683257920000
RB150990,0.0032564468860142733,0.011260852955702817,3.54,3.6647727272727275,0.0438095238095238095000,0.0269886363636363635000,0.0032564468860142733,0.011260852955702817,3.54,3.6647727272727275,0.0438095238095238095000,0.0269886363636363635000
RB151229,0.0033016426145474286,0.011107571413401296,3.3365384615384617,3.4318181818181817,0.0769230769230769230000,0.0568181818181818180000,0.0033016426145474286,0.011107571413401296,3.3365384615384617,3.4318181818181817,0.0769230769230769230000,0.0568181818181818180000
RB151229-SP-1,0.00013888362814539853,0.0004672400976956568,3.5,3.5,0.0000000000000000000000,0.0000000000000000000000,0.00013888362814539853,0.0004672400976956568,3.5,3.5,0.0000000000000000000000,0.0000000000000000000000
RB151229-SP-2,0.00005365958360163125,0.00018052458320059466,3.6666666666666665,3.6666666666666665,0.0000000000000000000000,0.0000000000000000000000,0.00005365958360163125,0.00018052458320059466,3.6666666666666665,3.6666666666666665,0.0000000000000000000000,0.0000000000000000000000
RB151229-SP-3,0.00009469338282640809,0.00031857279388340236,3.6666666666666665,4,0.0000000000000000000000,0.0000000000000000000000,0.00009469338282640809,0.00031857279388340236,3.6666666666666665,4,0.0000000000000000000000,0.0000000000000000000000
RB151229-SP-4,0.0001073191672032625,0.00036104916640118933,3.6,3.75,0.0000000000000000000000,0.0000000000000000000000,0.0001073191672032625,0.00036104916640118933,3.6,3.75,0.0000000000000000000000,0.0000000000000000000000
RB151289,0.024712448020420576,0.08236654223739649,3.3666394565520474,3.4421399972470668,0.0649018482672410426667,0.0550677418232586563333,0.03127653721336417,0.1062359264909696,3.4030210913927106,3.479867331681574,0.0526535080799337672000,0.0438739784272885272000
RB151309,0.002696647770009396,0.009337309966620454,3.5350877192982453,3.6046560846560847,0.0327380952380952380000,0.0371428571428571430000,0.0036352682984020944,0.012588971043677323,3.506784539473684,3.5982289055973267,0.0479910714285714285000,0.0410150375939849625000
RB151405,0.001833060994558637,0.006334470785361578,3.5384615384615383,3.563725490196078,0.0000000000000000000000,0.0000000000000000000000,0.001833060994558637,0.006334470785361578,3.5384615384615383,3.563725490196078,0.0000000000000000000000,0.0000000000000000000000
RB151406,0.0038194766786467382,0.012914942992634447,3.6842105263157894,3.72,0.0350877192982456140000,0.0400000000000000000000,0.0038194766786467382,0.012914942992634447,3.6842105263157894,3.72,0.0350877192982456140000,0.0400000000000000000000
RB151540,0.0014909430871871763,0.005175785900087891,3.4875816993464053,3.6733893557422967,0.0473856209150326796667,0.0196078431372549020000,0.0014909430871871763,0.005175785900087891,3.4875816993464053,3.6733893557422967,0.0473856209150326796667,0.0196078431372549020000
RB151597,0.002501407825442997,0.008392100870580248,3.7291666666666665,3.7242949145014435,0.0000000000000000000000,0.0000000000000000000000,0.005707416943407685,0.019466389720975016,3.5779544295105548,3.6291690580316223,0.0295504656849727923793,0.0176337189582883523103
RB151597-SP-1,0.0006901960075366377,0.002315537269050944,3.70718954248366,3.707983193277311,0.0000000000000000000000,0.0000000000000000000000,0.0007486535748518166,0.0025216179722657283,3.5380517848164907,3.553214063960024,0.0341189039718451483846,0.0313211675202625429231
RB151661,0.0032361125922950244,0.01086111383483175,3.3544051767048284,3.3621749408983455,0.0060975609756097560000,0.0044444444444444443333,0.0057735421935857355,0.019597863024556746,3.5273784247522584,3.5749254783047517,0.0327158347697548260000,0.0237756219136978374000
RB151661-SP-1,0.0005383816400488865,0.0018060543974291112,3.3907692307692305,3.5961538461538463,0.0133333333333333333333,0.0208333333333333335000,0.0005594548185352374,0.0018842678662511218,3.5615501106539864,3.6621438746438755,0.0109462915601023017692,0.0076388888888888889167
RB151710,0.06853960230419064,0.23804549856855162,3.3980399090400524,3.4962414592715194,0.0633009459914990823333,0.0413835890881996986667,0.06853960230419064,0.23804549856855162,3.3980399090400524,3.4962414592715194,0.0633009459914990823333,0.0413835890881996986667
RB151846,0.010239951751173912,0.03450277967282598,3.2758620689655173,3.3488372093023258,0.0689655172413793100000,0.0465116279069767440000,0.010239951751173912,0.03450277967282598,3.2758620689655173,3.3488372093023258,0.0689655172413793100000,0.0465116279069767440000
RB151848,0.04656285826524583,0.16075260304880798,3.568798449612403,3.554019292604502,0.0268895348837209300000,0.0217041800643086815000,0.04656285826524583,0.16075260304880798,3.568798449612403,3.554019292604502,0.0268895348837209300000,0.0217041800643086815000
RB151860,0.009486953091243824,0.03247031591581294,3.25,3.357142857142857,0.0603448275862068970000,0.0204081632653061220000,0.009486953091243824,0.03247031591581294,3.25,3.357142857142857,0.0603448275862068970000,0.0204081632653061220000
RB151861,0.020781149037957556,0.06913402725182569,3.539423744825095,3.611335412572275,0.0296907560223389180000,0.0208778375915007546667,0.018583156919106635,0.06202867299370684,3.508070158094817,3.584475292618769,0.0442035058107100191250,0.0309554685272392383750
RB151861-SP-1,0.0010371644942887943,0.003488225808296259,3.6666666666666665,3.6666666666666665,0.0000000000000000000000,0.0000000000000000000000,0.0010371644942887943,0.003488225808296259,3.6666666666666665,3.6666666666666665,0.0000000000000000000000,0.0000000000000000000000
RB151869,0.047454075174493016,0.16317191319889351,3.2970311337266103,3.3789573680967773,0.0717904075362824943333,0.0567107180952846246667,0.047454075174493016,0.16317191319889351,3.2970311337266103,3.3789573680967773,0.0717904075362824943333,0.0567107180952846246667
RB151870,0.02435701236394458,0.0822569202886542,3.441037306016622,3.546886474811003,0.0554214478361089046667,0.0241007559875484403333,0.020886231327397104,0.0712784927296189,3.5658123384943416,3.637168713077872,0.0340364977455174116667,0.0143911385754301875556
RB151870-SP-1,0.0002219688331432915,0.0007515004272228456,3.8,3.75,0.0000000000000000000000,0.0000000000000000000000,0.0002219688331432915,0.0007515004272228456,3.8,3.75,0.0000000000000000000000,0.0000000000000000000000
RB151870-SP-2,0.00017635879893576587,0.0005970825312181514,3,2.75,0.2000000000000000000000,0.2500000000000000000000,0.00017635879893576587,0.0005970825312181514,3,2.75,0.2000000000000000000000,0.2500000000000000000000
RB151870-SP-3,0.0010429494488787532,0.003531022555307343,3.6333333333333333,3.7142857142857144,0.0333333333333333330000,0.0000000000000000000000,0.0010429494488787532,0.003531022555307343,3.6333333333333333,3.7142857142857144,0.0333333333333333330000,0.0000000000000000000000
RB151872,0.042750383929916556,0.14283270865927256,3.34021177095059,3.4224931407515395,0.0933247307104485263333,0.0656272628514585276667,0.03489341957578222,0.11847074033469526,3.462347566460705,3.526298662308315,0.0612838686477986529000,0.0423856882410638964000
RB151877,0.02656143237367296,0.08806150245644279,3.646995397822814,3.807890531914054,0.0414686949297479196667,0.0054957237884067153333,0.01387597974277753,0.046194093039067234,3.6979552208564117,3.8237515037554677,0.0276788503422829901429,0.0023553101950314494286
RB151879,0.002720998432993468,0.009339199047286036,3.7222222222222223,3.8410202655485675,0.0579365079365079365000,0.0279524807826694620000,0.002720998432993468,0.009339199047286036,3.7222222222222223,3.8410202655485675,0.0579365079365079365000,0.0279524807826694620000
RB151938,0.012225170554570213,0.041081672498289486,3.61173956762192,3.7637362637362637,0.0360734037204625440000,0.0097402597402597405000,0.012225170554570213,0.041081672498289486,3.61173956762192,3.7637362637362637,0.0360734037204625440000,0.0097402597402597405000
RB151941,0.020867644615728403,0.07205320348028915,3.350074460163812,3.4163515016685206,0.0431868950111690245000,0.0303670745272525025000,0.020867644615728403,0.07205320348028915,3.350074460163812,3.4163515016685206,0.0431868950111690245000,0.0303670745272525025000
RB151970,0.05670411821320068,0.1907580722234533,3.4335109279697935,3.518092105263158,0.0562781367993029335000,0.0368601297764960345000,0.05670411821320068,0.1907580722234533,3.4335109279697935,3.518092105263158,0.0562781367993029335000,0.0368601297764960345000
RB151971,0.02653540594445257,0.088639725041745,3.462137486573577,3.5650729141764286,0.0706229860365198710000,0.0402581879034185990000,0.02653540594445257,0.088639725041745,3.462137486573577,3.5650729141764286,0.0706229860365198710000,0.0402581879034185990000
RB151999,0.027670930094875434,0.09307215681050508,3.366223099695903,3.4656473613595704,0.0800332473972641336667,0.0653324388789505066667,0.02919634781720577,0.10084348733777534,3.458417127386376,3.528248133322541,0.0535866726446325202500,0.0412987760756068620000
RB152035,0.0029896672185065754,0.01003208455653016,3.4878167641325533,3.507131513041353,0.0986029889538661470000,0.0995204935556777226667,0.004870690806983021,0.01657967344333853,3.5584359418615077,3.597977088212786,0.0334222226992869960000,0.0255023266190671534253
RB152035-SP-1,0.0003808681474153082,0.0012779554118584346,3.272222222222222,3.750841750841751,0.1666666666666666666667,0.0000000000000000000000,0.0004201871034355323,0.0014154853025702503,3.509191022652561,3.611064149525688,0.0470085470085470085385,0.0096153846153846153846
RB152050,0.0011463619437041364,0.003981891271542159,3.6666666666666665,3.75,0.0000000000000000000000,0.0000000000000000000000,0.0011463619437041364,0.003981891271542159,3.6666666666666665,3.75,0.0000000000000000000000,0.0000000000000000000000
RB152188,0.018672293516152075,0.06298137902272653,3.4692689717876277,3.500286134811399,0.0429540416451141836667,0.0360203921863993710000,0.024214860691864036,0.08185064443084412,3.5176873836621843,3.5604658996647824,0.0426824720687399113333,0.0320100148493870038889
