recipe_code_main,l1_2w_aor,l1_2w_aor_expected,l1_rar
RAORM48440,1.3383084577114428,1.3883302807519895,-0.036030203860029975
RB0158,1.4751655629139073,1.4153615147975627,0.04225354970521322
RB0273,1.3087950406819062,1.3286667616524601,-0.014956136138936316
RB0298,1.3810545677498467,1.3677390279495152,0.009735438945756902
RB0457,1.2963885429638855,1.281380505294096,0.011712397377502404
RB0457-SP-1,1.5,1.6592876757300834,-0.09599762480004992
RB0457-SP-2,1.2989690721649485,1.2955898856085593,0.0026082223965511186
RB0487,1.3130403458213256,1.325084631609705,-0.009089446440675886
RB0487-SP-1,1.289855072463768,1.3276972250243975,-0.02850209509169821
RB0487-SP-2,1.3333333333333333,1.4192848685176207,-0.06055974885017967
RB0542,1.3316427162581008,1.3278462824312105,0.0028590913550168295
RB0542-SP-1,1.344155844155844,1.371060882026105,-0.019623517980107197
RB0542-SP-2,1.25,1.2477564451482777,0.0017980711383589476
RB0915,1.2075187969924812,1.254158511370283,-0.03718805394610247
RB151229,1.3916423712342079,1.3325400426823393,0.04435313510946992
RB151229-SP-1,1.2045454545454546,1.2684063603742788,-0.050347355409019245
RB151229-SP-2,1.6470588235294117,1.2665854824313547,0.3003929433706245
RB151229-SP-3,1.16,1.3682551560323455,-0.15220491230323008
RB151229-SP-4,1.4242424242424243,1.3897107089476606,0.024848132112986532
RB151289,1.3004306061609805,1.302893781549015,-0.001890541978875615
RB151597,1.3718371837183718,1.3468778081176402,0.018531284315697727
RB151597-SP-1,1.3279569892473118,1.3254075086891026,0.0019235446770109466
RB151661,1.28,1.307696140497097,-0.021179339480629444
RB151661-SP-1,1.2967741935483872,1.3382422761719965,-0.030986976993603643
RB151861,1.282392026578073,1.273096546134159,0.007301473303136685
RB151869,1.2978819287967553,1.3164952787292803,-0.01413856185681972
RB151870,1.2891025641025642,1.2735022776142932,0.01224990858869579
RB151870-SP-1,1.4657534246575343,1.357544628410662,0.07970919996461334
RB151870-SP-2,1.0892857142857142,1.1474801394498246,-0.0507149737615612
RB151870-SP-3,1.2942942942942943,1.2767997254872279,0.013701889542927725
RB151872,1.2842424242424242,1.311381569131303,-0.020695078783863563
RB151877,1.2898467432950191,1.304341354133889,-0.011112590115257559
RB151938,1.3153215966533032,1.3195670147755678,-0.003217281179907938
RB151970,1.3529942822750527,1.360072148373435,-0.005204037232030001
RB151971,0.9418582190457794,0.9284171205862055,0.014477434939035971
RB151999,1.3098420413122722,1.3282731190440862,-0.013875969834485802
RB152035,1.4008179959100204,1.3909155271800464,0.007119389018577227
RB152035-SP-1,1.4414414414414414,1.4239734249918532,0.012267094415535418
RB152188,1.3506925207756233,1.3174774415504713,0.025211117987768317
RB152188-SP-1,1.4,1.3530063231400902,0.03473278436042038
RB152188-SP-2,1.25,1.253859225376641,-0.0030778777222632003
RB152228,1.2553255325532553,1.2696029944791027,-0.011245611413909118
RB152228-SP-1,1.3452380952380953,1.3152796008261656,0.02277728202665963
RB152228-SP-2,1.314516129032258,1.3083582992838065,0.004706531652546753
RB152236,1.356347438752784,1.3636548179320793,-0.005358672211767446
RB152236-SP-1,1.4339622641509433,1.4045538437761473,0.020937908863452037
RB152236-SP-2,1.6666666666666667,1.367298658152352,0.21894851335468601
RB152237,1.2673854447439352,1.3234232808260369,-0.042343093773539064
RB152237-SP-1,1.3134328358208955,1.2930797778188141,0.015739986311141152
RB152253,1.363366788321168,1.3583058056591824,0.0037259523156711882
RB152253-SP-1,1.3405511811023623,1.3090134943151255,0.0240927132716362
RB152253-SP-2,1.311764705882353,1.3152104572070187,-0.0026199239108720684
RB152594,1.281011886619933,1.2646754047449045,0.012917529520805049
RB152734,1.319670018045888,1.3051105235108442,0.011155755985997162
RB152734-SP-1,1.3841463414634145,1.3229092253609043,0.046289733965536595
RB152734-SP-2,1.0810810810810811,1.2358436363065748,-0.12522826567931766
RB152752,1.4622037155669443,1.432323094034473,0.020861648923292453
RB152752-SP-1,1.459954233409611,1.3898144059206983,0.05046704595240392
RB152752-SP-2,0,1.0229427959620678,-1
RB153323,1.2547128452433143,1.2400149092582171,0.011853031665473912
RB153356,1.2063914780292944,1.2002639268989874,0.005105169782231078
RB153356-SP-1,1.0858895705521472,1.1216852099046994,-0.03191237526934454
RB153383,1.3247462919594066,1.3206674793033815,0.0030884478643911084
RB153383-SP-1,1.4177215189873418,1.4037925652853944,0.009922373181336486
RB153383-SP-2,1.358974358974359,1.3877783789128424,-0.020755489764185397
RB153420,1.3790744466800804,1.3734278066137917,0.004111348291549799
RB153444,1.3530546623794213,1.3472428714443103,0.004313840554138748
RB153444-SP-1,1.3592233009708738,1.3352800589927427,0.017931251063685094
RB153444-SP-2,1.25,1.3112109915355443,-0.04668279318179058
RB153448,1.3485901103391909,1.326967233783611,0.016294958914641722
RB153448-SP-1,1.2943722943722944,1.3199264084364295,-0.01936025667855701
RB153448-SP-2,2,1.6803177646897687,0.1902510596674274
RB153453,1.2906626506024097,1.3027216764049947,-0.009256793696611698
RB153453-SP-1,1.2784810126582278,1.264743794728883,0.010861660667241813
RB153453-SP-2,1.11864406779661,1.2308035087244968,-0.0911270077903169
RB153465,1.4028310232969625,1.3773641124168816,0.01848959955504692
RB153465-SP-1,1.4779270633397312,1.4212485036861155,0.039879415532621865
RB153465-SP-2,1.6296296296296295,1.511149275433957,0.07840413658779566
RB153471,1.330146036161335,1.3418895263139914,-0.008751458240317422
RB153471-SP-1,1.2805429864253393,1.256470159074683,0.01915909198224397
RB153471-SP-2,1.5789473684210527,1.4630354138441293,0.07922703270207543
RB153471-SP-3,1.2214285714285715,1.2286507690425388,-0.005878153333673031
RB153471-SP-4,1.75,1.4359732425947591,0.2186856607702552
RB153601,1.3555406762638098,1.3570008998997518,-0.001076066814730714
RB153601-SP-1,1.345565749235474,1.3512761443482777,-0.0042259275697920096
RB153864,0.9552238805970149,0.9123341465463387,0.047010992861591605
RB154002,1.4130434782608696,1.3707913903740403,0.0308231348573762
RB154087,1.2043868394815553,1.2317969289303956,-0.022252117053612963
RB154087-SP-1,1.2774193548387096,1.2733328942532176,0.003209263346556801
RB154087-SP-2,1.4375,1.4178988033416629,0.013824115382664592
RB154087-SP-3,1.4166666666666667,1.2190706667660485,0.16208740419027623
RB154087-SP-4,1.375,1.2641643785234036,0.08767500758568847
RB154106,1.2285522788203753,1.2555422237278795,-0.02149664455518452
RB154177,1.2631178707224335,1.2531464943241506,0.007957071614089761
RB154177-SP-1,1.2765957446808511,1.2746724733400645,0.0015088357056514123
RB154177-SP-2,1.2222222222222223,1.2076488215561823,0.012067581573309338
RB154378,1.4433321415802645,1.4334877791146143,0.006867419875550285
RB154378-SP-1,1.3094262295081966,1.3053497504790643,0.003122901756894114
RB154378-SP-2,1.368421052631579,1.3712423983348145,-0.002057510551498165
RB154378-SP-3,1.46875,1.3722184461277267,0.07034707494617676
RB154378-SP-4,1.55,1.4117299371912346,0.09794370662980079
RB154456,1.3051575931232091,1.2879849154952383,0.013332980395479144
RB154794,1.3174474959612277,1.2921135874306908,0.01960656460622201
RB154845,1.372346528973035,1.349840816055607,0.016672864422037748
RB154874,1.37445295404814,1.389618166438192,-0.010913222607705775
RB154968,1.0953041067405995,1.093174037960663,0.0019485175333200377
RB154969,1.3016922263352724,1.3048317620763983,-0.002406084701777944
RB154969-SP-1,1.376865671641791,1.335256334943837,0.03116205900622382
RB154969-SP-2,1.5,1.3834555518110818,0.08424155588977889
RB155000,1.372918018602639,1.355032794457382,0.013199107961382683
RB155023,1.364,1.360974313685311,0.002223176649451819
RB155096,1.242914979757085,1.2784476212447355,-0.027793584107149383
RB155096-SP-1,1.1313868613138687,1.221078923303078,-0.07345312434563045
RB155096-SP-2,1.3571428571428572,1.3012585306621625,0.042946367046875045
RB155146,1.255595344673232,1.2555867567461039,0.000006839771988564891
RB155274,1.4090909090909092,1.3581307204382063,0.037522300236504824
RB155283,1.3551941238195173,1.3074100457610283,0.03654865450469624
RB155299,1.0913461538461537,1.0764085329042743,0.0138772784544694
RB155309,1.47265625,1.3915481074043798,0.05828626560881833
RB155310,1.352,1.3191491124471857,0.024903088849350663
RB155351,1.4088669950738917,1.319143090212845,0.0680168099478653
RB155653,1.3106617647058822,1.2864597706061258,0.018812865083494668
RB155666,1.3336180389477281,1.3483462973158722,-0.01092320155249682
RB155673,1.278225806451613,1.294458759318309,-0.012540339929597022
RB155673-SP-1,1.2134831460674158,1.2493774234684838,-0.02872973108591914
RB155967,1.3516729906864435,1.3228009395731122,0.021826451924541912
RB155967-SP-1,1.2,1.4312901167535368,-0.16159555218487143
RB155967-SP-2,1.21875,1.2912419405157862,-0.056141253038008765
RB155967-SP-3,1.434782608695652,1.4201964715689535,0.010270506524062029
RB156124,1.3132975151108126,1.3081101621113618,0.003965532223278778
RB156124-SP-1,1.2604166666666667,1.35690313980238,-0.07110785604768055
RB156124-SP-2,1.380952380952381,1.3199441040596214,0.04622034880501569
RB156404,0.9672131147540983,0.9112709305878923,0.06138918985390629
RB156414,1.2448288830387364,1.2607079720607894,-0.012595374483193589
RB156414-SP-1,1.2641509433962264,1.2997932396887695,-0.027421512286890826
RB156414-SP-2,1,1.4072344209772492,-0.28938634168317645
RB156521,1.2899393326592519,1.2872877951701747,0.0020597860859283834
RB156521-SP-1,1.2852664576802508,1.322178748101597,-0.027917776226811575
RB156521-SP-2,1.3928571428571428,1.3814604491612632,0.008249743018556188
RB156523,1.3395896988214753,1.3264442119647897,0.009910320191464317
RB156523-SP-1,1.4,1.388295856605637,0.008430582961602706
RB156523-SP-2,1.4,1.441288084043353,-0.028646656071369514
RB156529,1.3688415446071904,1.3761610051080095,-0.00531875301919682
RB156555,1.3490196078431373,1.3109262130769521,0.02905838207077549
RB156555-DP-1,0.8888888888888888,0.9579039317820003,-0.0720479795554465
RB156555-SP-7,1.7142857142857142,1.4295511806133294,0.19917757232743716
RB156555-SP-8,1.1935483870967742,1.3477450178300308,-0.1144108334242071
RB156624,1.4069400630914826,1.3483161917975195,0.04347932009613298
RB156626,1.3636363636363635,1.3694214277019205,-0.004224458554927812
RB156626-DP-1,0.7872340425531915,1.2731745314580745,-0.38167625639539815
RB156626-DP-4,0.7857142857142857,1.0680466223922094,-0.264344580806366
RB156626-SP-2,0.9285714285714286,1.1792576579398093,-0.2125796917073538
RB156626-SP-3,1.105263157894737,1.2843948926395934,-0.1394678036882553
RB156846,1.322884012539185,1.3180135599603597,0.0036952977774915574
RB156846-SP-1,1.313793103448276,1.3112830814438172,0.0019141724925595405
RB156846-SP-2,1.228013029315961,1.2520209188150269,-0.019175310203113916
RB157389,1.4386724386724388,1.4027599964782727,0.025601273406945513
RB157390,0.9173931091739311,0.8956066882139154,0.024325880151100376
RB157480,1.3040388930441287,1.276017966845843,0.021959664304374904
RB157480-SP-1,1.332535885167464,1.3088141517364609,0.018124600348743636
RB157573,1.2809482001755925,1.2565801837503463,0.019392329069298553
