hellofresh_week,n_new_recipes,n_repeat_recipes,n_total_recipes
2026-W06,0,100,434
2026-W07,0,100,440
2026-W08,0,102,434
2026-W09,0,97,434
2026-W10,0,107,440
2026-W11,0,103,438
2026-W12,0,108,446
2026-W13,0,105,449
2026-W14,0,117,494
2026-W15,0,106,444
2026-W16,0,110,429
2026-W17,0,111,435
