recipe_code_main,l1_rar
RAORM48440,-0.03603020386002975
RB0158,0.04225354970521278
RB0273,-0.01495613613893676
RB0298,0.009735438945756458
RB0457,0.011712397377502404
RB0457-SP-1,-0.09599762480004992
RB0457-SP-2,0.0026082223965513407
RB0487,-0.009089446440675442
RB0487-SP-1,-0.028502095091698876
RB0487-SP-2,-0.06055974885017945
RB0542,0.0028590913550166075
RB0542-SP-1,-0.019623517980106975
RB0542-SP-2,0.0017980711383589476
RB0915,-0.03718805394610203
RB151229,0.04435313510947014
RB151229-SP-1,-0.05034735540901947
RB151229-SP-2,0.3003929433706245
RB151229-SP-3,-0.15220491230322986
RB151229-SP-4,0.02484813211298631
RB151289,-0.001890541978875504
RB151597,0.018531284315697505
RB151597-SP-1,0.0019235446770113906
RB151661,-0.02117933948063
RB151661-SP-1,-0.030986976993604087
RB151861,0.007301473303136907
RB151869,-0.014138561856820164
RB151870,0.01224990858869579
RB151870-SP-1,0.0797091999646129
RB151870-SP-2,-0.0507149737615612
RB151870-SP-3,0.013701889542927947
RB151872,-0.020695078783864562
RB151877,-0.011112590115257559
RB151938,-0.003217281179907827
RB151970,-0.005204037232030001
RB151971,0.014477434939033751
RB151999,-0.013875969834486024
RB152035,0.007119389018577449
RB152035-SP-1,0.012267094415534974
RB152188,0.025211117987768983
RB152188-SP-1,0.0347327843604206
RB152188-SP-2,-0.0030778777222632003
RB152228,-0.011245611413909229
RB152228-SP-1,0.022777282026659185
RB152228-SP-2,0.004706531652546531
RB152236,-0.005358672211767446
RB152236-SP-1,0.020937908863452037
RB152236-SP-2,0.21894851335468601
RB152237,-0.042343093773539064
RB152237-SP-1,0.015739986311141596
RB152253,0.0037259523156718544
RB152253-SP-1,0.024092713271636645
RB152253-SP-2,-0.0026199239108720684
RB152594,0.012917529520805715
RB152734,0.011155755985996718
RB152734-SP-1,0.04628973396553682
RB152734-SP-2,-0.12522826567931777
RB152752,0.020861648923292897
RB152752-SP-1,0.05046704595240459
RB152752-SP-2,-1
RB153323,0.01185303166547369
RB153356,0.005105169782230856
RB153356-SP-1,-0.03191237526934454
RB153383,0.0030884478643919966
RB153383-SP-1,0.009922373181336486
RB153383-SP-2,-0.02075548976418584
RB153420,0.004111348291549577
RB153444,0.004313840554138304
RB153444-SP-1,0.017931251063685094
RB153444-SP-2,-0.046682793181790694
RB153448,0.0162949589146415
RB153448-SP-1,-0.01936025667855723
RB153448-SP-2,0.1902510596674274
RB153453,-0.009256793696611698
RB153453-SP-1,0.01086166066724159
RB153453-SP-2,-0.0911270077903168
RB153465,0.018489599555047365
RB153465-SP-1,0.03987941553262209
RB153465-SP-2,0.07840413658779588
RB153471,-0.008751458240317533
RB153471-SP-1,0.019159091982243526
RB153471-SP-2,0.07922703270207543
RB153471-SP-3,-0.005878153333673364
RB153471-SP-4,0.2186856607702552
RB153601,-0.001076066814730492
RB153601-SP-1,-0.0042259275697918985
RB153864,0.047010992861591605
RB154002,0.0308231348573762
RB154087,-0.02225211705361263
RB154087-SP-1,0.003209263346556801
RB154087-SP-2,0.013824115382664592
RB154087-SP-3,0.16208740419027667
RB154087-SP-4,0.08767500758568847
RB154106,-0.02149664455518474
RB154177,0.007957071614089983
RB154177-SP-1,0.0015088357056511903
RB154177-SP-2,0.012067581573309116
RB154378,0.006867419875550507
RB154378-SP-1,0.0031229017568943362
RB154378-SP-2,-0.002057510551498387
RB154378-SP-3,0.07034707494617676
RB154378-SP-4,0.09794370662980056
RB154456,0.013332980395480032
RB154794,0.019606564606222232
RB154845,0.01667286442203797
RB154874,-0.010913222607705775
RB154968,0.0019485175333200377
RB154969,-0.002406084701777833
RB154969-SP-1,0.03116205900622404
RB154969-SP-2,0.08424155588977911
RB155000,0.013199107961383572
RB155023,0.002223176649452485
RB155096,-0.027793584107149605
RB155096-SP-1,-0.07345312434563045
RB155096-SP-2,0.04294636704687482
